index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12
Bone Grasp;78;70;vampirebone gloves;Armor Class %;;100;120;Lifesteal;;6;8;Hit-Skill;91;5;8;dmg-mag;;65;95;Life per Kill;;6;8;Strength;;10;15;Dexterity;;10;15;Gethit-Skill;68;5;5;;;;;;;;;;;;;;;;
Blaze Blade;72;65;cryptic sword;Damage %;;190;240;Deadly Strike;;10;10;half-freeze;;1;1;dmg-fire;190;324;486;Attack Speed %;;30;30;abs-fire%;;8;15;Hit-Skill;47;5;15;pierce-fire;;5;10;;;;;;;;;;;;;;;;
Carnage Plate;78;70;sacred armor;Armor Class %;;180;240;Hit Recovery %;;10;10;Faster Movement %;;10;10;Stamina Points;;35;50;Strength;;20;25;Vitality;;20;25;Class Skill Tab;148;1;2;Sockets;;1;2;;;;;;;;;;;;;;;;
Charged Orb;74;67;eldritch orb;Sorceress Skills;;1;2;Cast Speed %;;35;35;extra-cold;;10;15;extra-ltng;;10;15;Energy;;20;30;Charges;117;20;1;Life per Kill;;15;15;;;;;;;;;;;;;;;;;;;;
Storm Eagle`s Talon;72;64;feral claws;Damage %;;200;280;Attack Speed %;;20;20;Class Skill Tab;18;1;3;dmg-ltng;;25;195;res-ltng;;40;70;Class Skill;271;1;2;Class Skill;261;1;2;pierce-ltng;;5;7;;;;;;;;;;;;;;;;
Chaser Treks;67;59;scarabshell boots;Armor Class %;;140;160;Faster Movement %;;40;40;Hit Recovery %;;20;20;dex/lvl;6;;;stamdrain;;50;50;rep-dur;5;;;Strength;;15;15;Vitality;;15;15;Armor Class;;35;50;;;;;;;;;;;;
Chromatic Scalers;68;61;boneweave boots;Armor Class %;;180;200;Faster Movement %;;20;20;All Resists;;15;25;Vitality;;10;15;regen-stam;;10;10;regen-mana;;10;10;half-freeze;;1;1;Strength;;10;20;Dexterity;;15;15;;;;;;;;;;;;
Concentration Mace;64;56;mighty scepter;Damage %;;250;300;Attack Speed %;;20;20;Other Skill;144;1;1;Class Skill;113;1;3;demon-heal;;15;20;Crushing Blow;;15;15;Sockets;;1;3;Paladin Skills;;2;3;Dmg % to Demons;;100;100;;;;;;;;;;;;
Silkstring;81;75;spiderweb sash;Armor Class %;;100;120;Cast Speed %;;25;25;Faster Movement %;;10;10;All Skills;;1;1;Slow Target %;;10;10;Mana %;;5;5;Hitpoint % Increase;;5;5;Sockets;;1;2;;;;;;;;;;;;;;;;
Drainer Strings;63;47;vampirefang belt;Dexterity;;15;15;Life per Kill;;3;3;Slow Target %;;10;10;Lifesteal;;4;6;Attack Speed %;;10;10;Light Radius;;2;2;Hit Recovery %;;10;10;Sockets;;1;2;;;;;;;;;;;;;;;;
Spikechain;79;75;amulet;Thorns;;150;350;All Resists;;25;25;Attack Rating;;400;450;Reduce Dmg %;;5;10;all-stats;;10;15;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Glamour Trap;66;58;mithril coil;Armor Class %;;100;120;Vitality;;25;25;Stamina Points;;50;50;Hit Recovery %;;10;10;Reduce Dmg %;;10;10;Replenish Life;;10;10;Light Radius;;3;5;Openwounds;;5;5;;;;;;;;;;;;;;;;
Spikeband;63;56;ring;Armor vs Melee;;100;100;Lifesteal;;6;9;Thorns;;125;250;Hit-Skill;Twister;3;7;dmg-to-mana;;10;10;Lightning Thorns;;7;111;dmg-ltng;;9;75;;;;;;;;;;;;;;;;;;;;
Haunted Visage;68;60;bone visage;Armor Class;;200;250;Strength;;25;35;Dexterity;;25;35;Sockets;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ironspike;64;57;caduceus;Damage %;;250;300;Slow Target %;;15;15;Attack Bonus %;;150;150;Attack Speed %;;15;15;dmg-norm;;75;225;Reduce Dmg;;5;10;Dmg % to Demons;;100;100;Class Skill Tab;9;3;4;Deadly Strike;;25;25;;;;;;;;;;;;
Arioc's Crusher;79;75;hyperion spear;Damage %;;190;240;dmg-pois;250;403;403;Crushing Blow;;50;50;Ignore Armor;;1;1;All Skills;;2;4;Attack Speed %;;30;30;;;;;;;;;;;;;;;;;;;;;;;;
Tibjorn`s Tenderizer;70;63;truncheon;Damage %;;280;330;Knockback;;1;1;Attack Speed %;;20;20;Charges;56;12;16;Attack Bonus %;;160;180;abs-fire%;;5;15;dmg-fire;;285;525;;;;;;;;;;;;;;;;;;;;
Bearclaw Maul;71;64;thunder maul;Damage %;;250;300;Hit-Skill;72;15;5;Crushing Blow;;25;25;Attack Speed %;;20;20;Charges;57;30;14;Class Skill Tab;17;7;7;Cast Speed %;;10;10;Class Skill;228;1;2;;;;;;;;;;;;;;;;
Wraithflight;78;70;ghost glaive;Damage %;;150;190;rep-quant;40;;;Lifesteal;;9;13;Mana per Kill;;15;15;ethereal;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plaguebone;67;59;ogre axe;Damage %;;280;320;Attack Speed %;;40;40;Hit-Skill;83;7;14;Hit-Skill;Bone Spear;25;15;Prevent Heal;;1;1;Sockets;;2;3;dmg-pois;;248;428;;;;;;;;;;;;;;;;;;;;
Hailcast Scepter;74;67;mighty scepter;Damage %;;250;300;Dmg % to Demons;;200;250;Paladin Skills;;2;2;Reduce Req %;;-60;-60;Hit-Skill;59;3;9;Class Skill;117;1;2;Light Radius;;2;2;reduce-ac;;25;25;dmg-cold;;124;248;pierce-cold;;3;5;extra-cold;;3;5;;;;
Evil Dead;79;72;troll nest;Armor Class;;250;350;Armor vs Melee;;300;350;Other Skill;69;1;1;Other Skill;70;1;1;Other Skill;80;1;1;Life per Kill;;5;7;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;
Death`s Render;76;72;ogre gauntlets;Armor Class;;150;200;Strength;;15;25;Damage %;;25;50;Crushing Blow;;10;10;Deadly Strike;;10;10;Openwounds;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Stone Facet;5;10;jewel;Armor Class;;15;25;Reduce Dmg %;;1;3;Armor Class %;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mana Facet;5;10;jewel;Manasteal;;1;3;dmg-to-mana;;1;3;Mana per Kill;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peasants Facet;5;10;jewel;Gold Find %;;10;20;Magic Find %;;5;10;Reduce Prices;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Speed Facet;5;10;jewel;Faster Movement %;;5;5;Cast Speed %;;5;5;Hit Recovery %;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Life Facet;5;10;jewel;Lifesteal;;1;3;Openwounds;;1;3;Life per Kill;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melee Facet;5;10;jewel;Attack Speed %;;5;5;dmg-norm;;3;5;Attack Rating;;15;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clubbing Facet;5;10;jewel;Crushing Blow;;1;3;dmg-ac;;-1;-3;Attack Rating;;15;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sharp Facet;5;10;jewel;Deadly Strike;;1;3;dmg-norm;;3;5;Attack Rating;;15;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apprentice Facet;5;10;jewel;Cast Speed %;;5;5;Armor Class;;15;25;dmg-to-mana;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iron Facet;30;35;jewel;Armor Class;;25;45;Reduce Dmg %;;3;5;Armor Class %;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energy Facet;30;35;jewel;Manasteal;;3;5;dmg-to-mana;;3;5;Mana per Kill;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adventurers Facet;30;35;jewel;Gold Find %;;15;30;Magic Find %;;10;15;Reduce Prices;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quick Facet;30;35;jewel;Faster Movement %;;10;10;Cast Speed %;;10;10;Hit Recovery %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blood Facet;30;35;jewel;Lifesteal;;3;5;Openwounds;;3;5;Life per Kill;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berserker Facet;30;35;jewel;Attack Speed %;;10;10;dmg-norm;;5;7;Attack Rating;;25;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crushing Facet;30;35;jewel;Crushing Blow;;3;5;dmg-ac;;-3;-5;Attack Rating;;25;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slayer Facet;30;35;jewel;Deadly Strike;;3;5;dmg-norm;;5;7;Attack Rating;;25;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warrior Mage Facet;30;35;jewel;Cast Speed %;;10;10;Armor Class;;50;75;dmg-to-mana;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tower Facet;60;55;jewel;Armor Class;;75;100;Reduce Dmg %;;5;7;Armor Class %;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charging Facet;60;55;jewel;Manasteal;;5;7;dmg-to-mana;;5;7;Mana per Kill;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brave Adventurers Facet;60;55;jewel;Gold Find %;;20;40;Magic Find %;;15;20;Reduce Prices;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quicken Facet;60;55;jewel;Faster Movement %;;15;15;Cast Speed %;;15;15;Hit Recovery %;;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drainers Facet;60;55;jewel;Lifesteal;;5;7;Openwounds;;5;7;Life per Kill;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warlords Facet;60;55;jewel;Attack Speed %;;15;15;dmg-norm;;7;9;Attack Rating;;50;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Destructive Facet;60;55;jewel;Crushing Blow;;5;7;dmg-ac;;-5;-7;Attack Rating;;50;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Decapitators Facet;60;55;jewel;Deadly Strike;;5;7;dmg-norm;;7;9;Attack Rating;;50;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Battle Mage Facet;60;55;jewel;Cast Speed %;;15;15;Armor Class;;75;100;dmg-to-mana;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guardian Facet;79;75;jewel;Armor Class;;100;125;Reduce Dmg %;;7;9;Armor Class %;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Overcharged Facet;79;75;jewel;Manasteal;;7;9;dmg-to-mana;;7;9;Mana per Kill;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand Adventurers Facet;79;75;jewel;Gold Find %;;30;50;Magic Find %;;20;30;Reduce Prices;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haste Facet;79;75;jewel;Faster Movement %;;20;20;Cast Speed %;;20;20;Hit Recovery %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draculs Facet;79;75;jewel;Lifesteal;;7;9;Openwounds;;7;9;Life per Kill;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
High Warlords Facet;79;75;jewel;Attack Speed %;;20;20;dmg-norm;;9;12;Attack Rating;;75;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oblivian Facet;79;75;jewel;Crushing Blow;;7;9;dmg-ac;;-7;-9;Attack Rating;;75;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Onslaught Facet;79;75;jewel;Deadly Strike;;7;9;dmg-norm;;9;12;Attack Rating;;75;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand Mage Facet;79;75;jewel;Cast Speed %;;20;20;Armor Class;;100;125;dmg-to-mana;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ordos Facet;75;70;jewel;Armor Class;;125;150;Armor Class %;;10;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazonian Facet;75;70;jewel;Deadly Strike;;10;15;dmg-norm;;15;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viper Facet;75;70;jewel;Hit Recovery %;;20;20;Armor Class %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warforged Facet;75;70;jewel;Crushing Blow;;10;15;dmg-norm;;15;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cursed Facet;75;70;jewel;Openwounds;;20;20;Attack Rating;;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demonic Facet;75;70;jewel;Swing3;;30;30;Attack Rating;;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zakarum Facet;75;70;jewel;Attack Rating;;150;150;Reduce Dmg %;;10;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arcanic Facet;75;70;jewel;Faster Movement %;;30;30;dmg-to-mana;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Archon Facet;75;70;jewel;Cast Speed %;;30;30;dmg-to-mana;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flaming Facet;60;55;jewel;extra-fire;;5;7;pierce-fire;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freezing Facet;60;55;jewel;extra-cold;;5;7;pierce-cold;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sparking Facet;60;55;jewel;extra-ltng;;5;7;pierce-ltng;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Venomous Facet;60;55;jewel;extra-pois;;5;7;pierce-pois;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Molten Facet;60;55;jewel;extra-fire;;7;9;pierce-fire;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frostburn Facet;60;55;jewel;extra-cold;;7;9;pierce-cold;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arching Facet;60;55;jewel;extra-ltng;;7;9;pierce-ltng;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infectious Facet;60;55;jewel;extra-pois;;7;9;pierce-pois;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flesh Bound Face;74;68;Arcanic Circlet;Armor Class;;40;60;Armor Class %;;50;75;Sorceress Skills;;2;3;Vitality;;20;30;Energy;;30;40;regen-mana;;10;10;Armor vs Melee;;75;75;Cast Speed %;;15;15;All Skills;;1;1;mag%/lvl;3;;;;;;;;;;
True Sight`s Aim;81;79;Amazonian Tiara;Armor Class;;40;60;Armor Class %;;50;75;Amazon Skills;;1;2;reduce-ac;;33;33;Vitality;;20;30;Light Radius;;3;3;aura;108;1;1;Replenish Life;;20;25;dex/lvl;5;;;;;;;;;;;;;;
Blade Trappers Cover;58;56;Viperskin Helm;Armor Class;;50;70;Armor Class %;;40;80;Assassin Skills;;1;2;Class Skill;266;1;2;Class Skill;277;1;2;Replenish Life;;10;15;Openwounds;;15;15;Hitpoints;;40;60;dex/lvl;4;;;regen-mana;;4;6;;;;;;;;
Adventurers Steelcap;63;57;Gemmed Cap;Armor Class;;15;25;Armor Class %;;15;25;mag%/lvl;2;;;gold%/lvl;2;;;Hit Recovery %;;10;10;all-stats;;15;15;Mana per Kill;;4;7;;;;;;;;;;;;;;;;;;;;
Xaversight;68;64;Plated Armet;Armor Class %;;70;90;Other Skill;253;1;5;Attack Speed %;;15;15;reduce-ac;;15;15;Strength;;10;15;Dexterity;;10;15;Armor vs Melee;;100;100;res-mag;;25;35;;;;;;;;;;;;;;;;
Fearless Visor;54;49;Plated Conch;Armor Class %;;70;90;Other Skill;130;1;1;Faster Movement %;;10;10;Lifesteal;;5;7;Strength;;10;10;All Resists;;5;10;Armor vs Missile;;125;125;;;;;;;;;;;;;;;;;;;;
High Templar Faceguard;79;71;Ordos Spire;Armor Class %;;100;120;Replenish Life;;15;25;res-all-max;;5;5;pois-len;25;;;str/lvl;5;;;Vitality;;5;10;Faster Movement %;;10;10;dmg-und/lvl;20;;;att-undead;;125;125;regen-mana;;3;5;;;;;;;;
Light`s Callcrown;79;77;Ordos Crown;Armor Class %;;100;140;Paladin Skills;;2;3;Light Radius;;2;2;str/lvl;6;;;Strength;;10;15;att-demon;;200;200;Dmg % to Demons;;250;250;Magic Find %;;10;25;Replenish Life;;15;25;;;;;;;;;;;;
Decrepit Vision;74;69;Cursed Mask;Armor Class %;;40;60;Necro Skills;;1;3;Light Radius;;-2;-2;Gethit-Skill;72;1;3;Class Skill Tab;6;2;3;regen-mana;;10;10;Replenish Life;;10;15;res-mag;;10;15;Energy;;10;15;Vitality;;5;5;;;;;;;;
Frozen Tower;71;67;Arcanic Shroud;Armor Class %;;100;120;Gethit-Skill;40;5;5;Sorceress Skills;;1;1;Armor Class;;25;50;res-cold;;30;30;Light Radius;;-1;-1;Class Skill Tab;5;1;3;abs-fire%;;5;10;nofreeze;;1;1;;;;;;;;;;;;
Serpentpuss Glow;67;62;Cursed Hide;Armor Class %;;130;150;Gethit-Skill;92;10;15;extra-pois;;5;10;Manasteal;;5;10;res-pois;;30;30;Replenish Life;;15;15;rip;;1;1;death-skill;92;50;50;Magic Find %;;15;20;Energy;;10;15;;;;;;;;
Assassin`s Creed;68;63;Viperskin Husk;Armor Class %;;130;150;Deadly Strike;;30;30;movement1;;15;15;Life per Kill;;5;15;Replenish Life;;5;5;Armor vs Melee;;125;125;Hit Recovery %;;15;15;Sockets;;1;2;Gold Find %;;25;40;Other Skill;28;1;1;;;;;;;;
Wisp Fleece;70;64;Demonskin Fleece;Armor Class %;;130;150;Other Skill;226;1;1;Vitality;;30;30;Replenish Life;;5;10;Strength;;10;20;Dexterity;;15;15;Energy;;10;15;pois-len;25;;;Extra XP;;3;5;;;;;;;;;;;;
Griswold`s Mail;72;66;Tristram Mail;Armor Class %;;70;90;Gethit-Skill;66;5;5;Strength;;20;25;Vitality;;5;10;Replenish Life;;5;10;res-pois;;25;35;res-pois-max;;5;5;Gold Find %;;25;50;Mana per Kill;;3;5;;;;;;;;;;;;
Desertleaper;73;65;Lut Gholein Mail;Armor Class %;;140;160;Other Skill;143;1;1;dmg;;15;35;res-ltng;;25;35;Replenish Life;;5;10;dmg-ltng;;7;145;Faster Movement %;;20;20;Reduce Req %;;-20;-20;Stamina Points;;15;15;regen-mana;;3;5;;;;;;;;
Fireshaft;62;58;Diamondweave Mesh;Armor Class %;;140;160;res-fire;;30;30;Reduce Dmg %;;30;30;abs-fire%;;5;5;Replenish Life;;10;15;dmg-fire;;76;124;Attack Speed %;;15;15;Reduce Req %;;-15;-15;Indestructable;;1;1;;;;;;;;;;;;
Heavenly Guardian Plate;75;71;Lightforged Plate;Armor Class %;;180;220;block;;15;15;block1;;15;15;abs-ltng%;;5;8;Replenish Life;;15;15;res-ltng-max;;15;15;All Skills;;1;1;Light Radius;;1;2;res-ltng;;35;35;;;;;;;;;;;;
Ancient Wyrmscale;76;72;Wyrmscale;Armor Class %;;140;160;all-stats;;5;10;All Resists;;15;20;res-all-max;;5;5;Strength;;5;5;Dexterity;;5;5;Attack Bonus %;;250;250;dmg-mag;;50;100;regen-mana;;2;4;;;;;;;;;;;;
Tyrael's Resolve;79;78;Ordos Plate;Reduce Req %;;-50;-50;Indestructable;;1;1;Armor Class %;;160;180;Hit Recovery %;;25;25;All Resists;;25;25;Faster Movement %;;25;25;Faster Movement %;;20;20;All Resists;;20;30;Strength;;20;30;Mana per Kill;;3;5;;;;;;;;
Huntress Plate;78;77;Amazonian Hauberk;Armor Class %;;170;190;Faster Movement %;;30;30;deadly/lvl;2;;;Dexterity;;10;20;Strength;;10;10;Sockets;;1;3;Armor Class;;65;65;Reduce Req %;;-20;-20;Magic Find %;;10;10;;;;;;;;;;;;
Prism Robes;76;78;Dark Archon Plate;Armor Class %;;160;180;Sockets;;2;4;All Resists;;15;30;Armor vs Missile;;150;150;Armor vs Melee;;250;250;abs-cold%;;5;5;All Skills;;1;3;Replenish Life;;10;15;Strength;;25;25;Dexterity;;25;25;Energy;;35;35;;;;
Hades Returned;77;74;Demon Plate;Armor Class %;;140;160;Other Skill;129;1;1;Crushing Blow;;20;25;Strength;;20;20;Armor vs Melee;;75;75;Dmg % to Undead;;100;100;att-undead;;100;100;Replenish Life;;5;10;regen-mana;;5;10;;;;;;;;;;;;
Qual-Kehk`s Plates;79;79;Warforged Plate;Armor Class %;;250;300;Sockets;;2;3;All Resists;;35;35;Armor vs Melee;;225;225;Dexterity;;25;35;Prevent Heal;;1;1;Strength;;25;35;Replenish Life;;15;15;vit/lvl;2;10;35;;;;;;;;;;;;
Themiscyra`s Plain;78;75;Amazonian Plate;Armor Class %;;160;180;Sockets;;2;2;All Resists;;25;35;Armor vs Missile;;200;200;Strength;;20;30;abs-fire%;;5;5;Replenish Life;;10;10;Reduce Req %;;-20;-20;Dexterity;;30;45;Mana per Kill;;2;4;;;;;;;;
Scythians Revenge;64;56;Amazonian Guard;Armor Class %;;100;120;Other Skill;25;1;3;dmg-pois;;200;400;pierce-pois;;5;8;Sockets;;1;2;block;;10;10;Hit-Skill;83;2;14;Dexterity;;20;20;regen-mana;;2;4;;;;;;;;;;;;
Faded Warning;72;65;Viper Guard;Armor Class %;;100;120;Gethit-Skill;267;5;1;Armor vs Missile;;100;100;Sockets;;1;2;Replenish Life;;5;15;Openwounds;;20;20;Vitality;;5;10;Hit Recovery %;;15;15;;;;;;;;;;;;;;;;
Chargers Bastion;79;71;Warforged Aegis;Armor Class %;;120;140;Other Skill;107;1;1;dmg-norm;;25;35;Sockets;;2;2;Replenish Life;;10;10;Crushing Blow;;5;15;Armor Class;;15;25;Faster Movement %;;20;20;;;;;;;;;;;;;;;;
Archon Deathspeaker;79;76;Demon Ward;Armor Class %;;100;100;Armor Class;;50;75;res-pois-len;;50;50;Cast Speed %;;20;20;pierce-ltng;;3;5;pierce-cold;;3;5;pierce-fire;;3;5;pierce-pois;;3;5;death-skill;Poison Nova;100;51;Mana %;;10;10;All Skills;;1;2;;;;
Frost Breachers;57;53;Arcanic Mitts;Armor Class %;;40;60;All Resists;;15;30;All Skills;;1;1;all-stats;;10;15;Replenish Life;;24;24;abs-cold%;;5;5;Cast Speed %;;20;20;extra-cold;;3;5;Sockets;;1;3;;;;;;;;;;;;
Vinevenom;63;58;Cursed Gloves;Armor Class %;;40;60;Other Skill;222;1;1;res-pois;;15;15;Mana per Kill;;5;8;Strength;;5;10;Dexterity;;5;10;Mana Points;;20;20;Cast Speed %;;20;20;res-pois-max;;5;5;Sockets;;1;3;;;;;;;;
Direpaws;63;58;Demonskin Mitts;Armor Class %;;50;70;Other Skill;223;1;1;Lifesteal;;5;10;Attack Speed %;;40;40;Strength;;15;15;Reduce Dmg;;5;10;Other Skill;248;1;1;Sockets;;1;3;;;;;;;;;;;;;;;;
Bloodstrainers;69;63;Viperskin Braces;Armor Class %;;50;70;Hit-Skill;82;1;5;Lifesteal;;5;5;Openwounds;;5;5;Other Skill;10;1;1;Mana per Kill;;3;5;Sockets;;1;3;;;;;;;;;;;;;;;;;;;;
Manald`s Heart Strikers;77;71;Amazonian Braces;Other Skill;9;1;1;Armor Class;;35;60;all-stats;;10;10;Armor Class %;;80;100;Attack Speed %;;25;25;Dexterity;;20;25;Deadly Strike;;15;15;regen-mana;;3;5;Sockets;;1;3;;;;;;;;;;;;
Tyrael's Fists;76;72;Ordos Gauntlets;Armor Class %;;100;120;Other Skill;111;1;1;dmg-cold;;128;296;dmg-fire;;235;375;dmg-ltng;;1;401;Faster Movement %;;;;Attack Speed %;;25;25;Sockets;;1;3;;;;;;;;;;;;;;;;
Nagels`s Stone Crushers;79;79;Warforged Gauntlets;Armor Class %;;100;120;Knockback;;1;1;Crushing Blow;;15;15;Magic Find %;;20;50;dmg-max;;15;25;Vitality;;5;20;Strength;;30;30;Mana per Kill;;2;4;Sockets;;1;3;;;;;;;;;;;;
Arcanic Phase Shifters;61;56;Arcanic Boots;Armor Class %;;40;60;Faster Movement %;;30;30;Gethit-Skill;Fade;5;1;res-all-max;;5;5;Reduce Dmg %;;5;5;abs-mag%;;5;5;stam/lvl;1;;;regen-stam;;20;20;stamdrain;30;30;Sockets;;1;3;;;;;;;;;
Quickbeat Boots;66;57;Viperskin Boots;Armor Class %;;50;70;Faster Movement %;;40;40;Knockback;;1;1;Slow Target %;;10;10;Replenish Life;;5;10;ethereal;;1;1;rep-dur;100;;;Stamina Points;;50;50;stamdrain;20;20;regen-mana;;3;5;Sockets;;1;3;;;;;
Frostfoot Treads;72;68;Cursed Boots;Armor Class %;;70;90;Other Skill;114;1;1;res-cold-max;;5;5;res-cold;;15;25;Mana %;;5;8;All Skills;;1;1;Faster Movement %;;15;15;stamdrain;;25;25;regen-stam;15;15;Sockets;;1;3;;;;;;;;;
Moonhowl Steppers;72;68;Demonskin Boots;Armor Class %;;70;90;Gethit-Skill;130;5;10;Manasteal;;2;4;Hitpoints;;50;75;Hitpoint % Increase;;3;5;Faster Movement %;;20;20;Extra XP;;3;5;Stamina Points;;75;75;regen-stam;50;50;Sockets;;1;3;;;;;;;;;
Jungle Treads;77;75;Amazonian Treads;Faster Movement %;;40;40;res-pois-len;;50;50;res-pois;;25;35;dmg-pois;96;172;260;Reduce Req %;;-30;-30;Replenish Life;;24;24;dex/lvl;4;;;stamdrain;;30;30;regen-stam;20;20;Sockets;;1;3;;;;;;;;;
Crushkicks;78;75;Ordos Greaves;Armor Class %;;100;120;Class Skill;275;1;2;Class Skill Tab;19;1;2;Reduce Dmg %;;3;5;Armor vs Melee;;75;75;manaregen;;5;15;Dexterity;;40;40;kick;;65;65;Reduce Req %;;-25;-25;regen-stam;;35;35;stamdrain;;10;10;Sockets;;1;3
Trench Walkers;79;77;Warforged Greaves;Faster Movement %;;20;20;Replenish Life;;24;24;res-fire;;25;35;Armor Class %;;100;40;abs-fire%;;5;5;Armor vs Missile;;100;100;str/lvl;6;;;Stamina Points;;50;50;stamdrain;35;35;Sockets;;1;3;;;;;;;;;
Phase Tethers;61;56;Arcanic Sash;Armor Class %;;40;60;Gold Find %;;120;120;Reduce Dmg;;10;10;Cast Speed %;;10;10;Gethit-Skill;54;5;1;Gethit-Skill;273;5;1;hp/lvl;12;;;Sockets;;1;2;;;;;;;;;;;;;;;;
Powerdrainers;68;61;Cursed Belt;Armor Class %;;40;60;All Skills;;1;2;dur%;;10;20;rep-dur;150;;;rip;;1;1;Mana Points;;10;20;Sockets;;1;2;;;;;;;;;;;;;;;;;;;;
