index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12;imagename
Skill Facet;15;10;jewel;Class Skill;264;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;265;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;266;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;267;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;268;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;269;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;270;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;271;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;272;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;273;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;274;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;275;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;276;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;277;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;278;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;279;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skill Facet;15;10;jewel;Class Skill;280;1;2;all-stats;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;6;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;7;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;8;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;9;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;10;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;11;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;12;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;13;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;14;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;15;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;16;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;17;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;18;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;19;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;20;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;21;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;22;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;23;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;24;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;25;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;26;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;27;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;28;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;29;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;30;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;31;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;32;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;33;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;34;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;35;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;36;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;37;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;38;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;39;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;40;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;41;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;42;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;43;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;44;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;45;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;46;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;47;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;48;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;49;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;50;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;51;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;52;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;53;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;54;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;55;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;56;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;57;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;58;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;59;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;60;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;61;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;62;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;63;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;64;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;65;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;66;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;67;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;68;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;69;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;70;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;71;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;72;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;73;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;74;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;75;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;76;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;77;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;78;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;79;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;80;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;81;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;82;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;83;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;84;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;85;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;86;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;87;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;88;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;89;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;90;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;91;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;92;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;93;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;94;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;95;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;96;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;97;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;98;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;99;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;100;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;101;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;102;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;103;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;104;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;105;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;106;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;107;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;108;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;109;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;110;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;111;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;112;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;113;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;114;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;115;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;116;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;117;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;118;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;119;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;120;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;121;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;122;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;123;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;124;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;125;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;126;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;127;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;128;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;129;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;130;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;131;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;132;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;133;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;134;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;135;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;136;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;137;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;138;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;139;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;140;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;141;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;142;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;143;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;144;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;145;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;146;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;147;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;148;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;149;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;150;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;151;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;152;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;153;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;154;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;155;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;221;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Skill Facet;45;35;jewel;Class Skill;222;2;3;all-stats;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
